,_Index,relation_num,active_level
565,565,1140,1
566,566,1126,1
567,567,1116,1
568,568,1106,1
569,569,1110,1
570,570,1116,1
571,571,1132,1
572,572,1110,1
573,573,1112,1
574,574,1126,1
575,575,1132,1
576,576,1114,1
577,577,1130,1
578,578,1120,1
579,579,1138,1
580,580,1100,1
581,581,1122,1
582,582,1118,1
583,583,1126,1
584,584,1122,1
585,585,1112,1
586,586,1114,1
587,587,1124,1
588,588,1146,1
589,589,1132,1
590,590,1128,1
591,591,1154,1
592,592,1134,1
593,593,1122,1
594,594,1130,1
595,595,1128,1
596,596,1092,1
597,597,1112,1
598,598,1106,1
599,599,1110,1
600,600,1114,1
601,601,1122,1
602,602,1122,1
603,603,1110,1
604,604,1126,1
605,605,1136,1
606,606,1148,1
607,607,1106,1
608,608,1122,1
609,609,1140,1
610,610,1112,1
611,611,1102,1
612,612,1104,1
613,613,1114,1
614,614,1112,1
615,615,1118,1
616,616,1132,1
617,617,1102,1
618,618,1106,1
619,619,1124,1
620,620,1104,1
621,621,1110,1
622,622,1150,1
623,623,1124,1
624,624,1096,1
625,625,1142,1
626,626,1136,1
627,627,1114,1
628,628,1092,1
629,629,1118,1
630,630,1102,1
631,631,1096,1
632,632,1120,1
633,633,1116,1
634,634,1128,1
635,635,1128,1
636,636,1126,1
637,637,1144,1
638,638,1108,1
639,639,1128,1
640,640,1122,1
641,641,1114,1
642,642,1148,1
643,643,1132,1
644,644,1106,1
645,645,1112,1
646,646,1118,1
647,647,1108,1
648,648,1120,1
649,649,1118,1
650,650,1132,1
651,651,1154,1
652,652,1126,1
653,653,1124,1
654,654,1132,1
655,655,1126,1
656,656,1136,1
657,657,1102,1
658,658,1116,1
659,659,1120,1
660,660,1118,1
661,661,1128,1
662,662,1134,1
663,663,1116,1
664,664,1114,1
665,665,1134,1
666,666,1112,1
667,667,1130,1
668,668,1128,1
669,669,1120,1
670,670,1124,1
671,671,1112,1
672,672,1110,1
673,673,1128,1
674,674,1120,1
675,675,1126,1
676,676,1146,1
677,677,1106,1
678,678,1082,1
679,679,1098,1
680,680,1104,1
681,681,1062,1
682,682,1062,1
683,683,1060,1
684,684,1046,1
685,685,1042,1
686,686,1014,1
687,687,1016,1
688,688,992,1
689,689,1002,1
690,690,1008,1
691,691,1008,1
692,692,962,1
693,693,964,1
694,694,944,1
695,695,936,1
696,696,934,1
697,697,932,1
698,698,898,1
699,699,920,1
700,700,918,1
701,701,900,1
702,702,882,1
703,703,894,1
704,704,886,1
705,705,878,1
706,706,830,1
707,707,870,1
708,708,836,1
709,709,834,1
710,710,834,1
711,711,820,1
712,712,798,1
713,713,834,1
714,714,796,1
715,715,796,1
716,716,784,1
717,717,782,1
718,718,772,1
719,719,764,1
720,720,760,1
721,721,746,1
722,722,758,1
723,723,744,1
724,724,718,1
725,725,728,1
726,726,744,1
727,727,720,1
728,728,724,1
729,729,728,1
730,730,700,0
731,731,734,1
732,732,728,1
733,733,730,1
734,734,722,1
735,735,720,1
736,736,736,1
737,737,726,1
738,738,728,1
739,739,712,0
740,740,746,1
741,741,734,1
742,742,710,0
743,743,734,1
744,744,724,1
745,745,732,1
746,746,734,1
747,747,704,0
748,748,726,1
749,749,730,1
750,750,726,1
751,751,720,1
752,752,716,1
753,753,730,1
754,754,712,0
755,755,740,1
756,756,708,0
757,757,738,1
758,758,710,0
759,759,722,1
760,760,708,0
761,761,714,0
762,762,722,1
763,763,722,1
764,764,728,1
765,765,730,1
766,766,710,0
767,767,726,1
768,768,746,1
769,769,734,1
770,770,736,1
771,771,732,1
772,772,732,1
773,773,718,1
774,774,704,0
775,775,716,1
776,776,710,0
777,777,728,1
778,778,728,1
779,779,746,1
780,780,722,1
781,781,712,0
782,782,712,0
783,783,732,1
784,784,726,1
785,785,740,1
786,786,716,1
787,787,714,0
788,788,724,1
789,789,724,1
790,790,738,1
791,791,724,1
792,792,742,1
793,793,710,0
794,794,730,1
795,795,718,1
796,796,734,1
797,797,738,1
798,798,718,1
799,799,716,1
800,800,716,1
801,801,728,1
802,802,728,1
803,803,718,1
804,804,728,1
805,805,720,1
806,806,724,1
807,807,744,1
808,808,734,1
809,809,722,1
810,810,720,1
811,811,736,1
812,812,724,1
813,813,710,0
814,814,708,0
815,815,744,1
816,816,730,1
817,817,732,1
818,818,720,1
819,819,728,1
820,820,728,1
821,821,716,1
822,822,750,1
823,823,722,1
824,824,748,1
825,825,728,1
826,826,714,0
827,827,746,1
828,828,746,1
829,829,774,1
830,830,806,1
831,831,802,1
832,832,818,1
833,833,832,1
834,834,848,1
835,835,890,1
836,836,902,1
837,837,908,1
838,838,932,1
839,839,954,1
840,840,966,1
841,841,970,1
842,842,988,1
843,843,1028,1
844,844,1042,1
845,845,1060,1
846,846,1054,1
